Hora;temp1;temp2; vazao;tempCPU
20:08:36;27,62;28,25;2,91;25
20:08:38;27,12;28,31;2,73;25
20:08:40;26,94;28,25;2,91;25
20:08:41;27,12;27,69;2,91;25
20:08:43;27,69;27,69;2,73;25
20:08:45;27,62;27,62;2,91;25
20:08:46;27,06;28,25;2,91;25
20:08:48;27,00;28,12;2,91;25
20:08:49;27,56;28,19;2,73;25
20:08:51;27,12;28,25;2,91;25
20:08:53;27,62;27,75;2,91;25
20:08:54;27,56;28,25;2,73;25
20:08:56;27,56;28,19;2,91;25
20:08:57;27,06;28,19;2,91;25
20:08:59;27,56;27,62;2,91;25
20:09:01;27,69;27,69;2,73;25
20:09:02;27,62;28,25;2,91;25
20:09:04;27,50;28,19;2,91;25
20:09:06;27,56;28,19;2,73;25
20:09:07;27,62;27,69;2,91;25
20:09:09;27,56;28,19;2,91;25
20:09:10;27,56;28,19;2,91;25
20:09:12;27,56;28,19;2,91;25
20:09:14;27,06;28,19;2,73;25
20:09:15;27,56;28,12;2,91;25
20:09:17;27,06;27,56;2,91;25
20:09:18;27,62;27,56;2,73;25
20:09:20;27,56;27,75;2,91;25
20:09:22;27,44;28,12;2,91;25
20:09:23;27,56;27,69;2,73;25
20:09:25;27,50;27,62;2,91;25
20:09:27;27,56;27,62;2,91;25
20:09:28;27,56;28,12;2,91;25
20:09:30;27,62;27,69;2,73;25
20:09:31;27,00;27,69;2,91;25
20:09:33;27,50;28,12;2,91;25
20:09:35;27,44;28,19;2,73;25
20:09:36;27,44;28,19;2,91;25
20:09:38;27,50;28,12;2,91;25
20:09:39;27,56;28,19;2,73;25
20:09:41;27,56;28,19;2,91;25
20:09:43;27,56;28,25;2,91;25
20:09:44;27,56;27,62;2,73;25
20:09:46;27,56;28,19;2,91;25
20:09:48;27,50;28,12;2,91;25
20:09:49;26,87;28,12;2,73;25
20:09:51;27,44;28,12;2,91;25
20:09:52;27,50;28,06;2,91;25
20:09:54;27,50;28,06;2,91;25
20:09:56;27,56;28,12;2,73;25
20:09:57;27,50;28,12;2,91;25
20:09:59;27,56;28,12;2,91;25
20:10:00;27,44;28,06;2,73;25
20:10:02;27,44;28,12;2,91;25
20:10:04;27,50;28,12;2,91;25
20:10:05;26,81;27,56;2,91;25
20:10:07;26,94;28,12;2,73;25
20:10:09;27,44;27,56;2,91;25
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
